Date,Open,High,Low,Close,Change,Rate,Volume,Amount
2006/11/1,1465.67,1479.41,1461.32,1479.41,14.94,1.02,389269.25,2351842.91
2006/11/2,1480.55,1480.55,1464.6,1479.66,0.25,0.02,423731.36,2475796.36
2006/11/3,1481.58,1497.47,1480.77,1488.29,8.63,0.58,393720.27,2331928.41
2006/11/6,1477.44,1507.97,1472,1507.89,19.6,1.32,420335.1,2522167.82
2006/11/7,1512.65,1516.8,1491.33,1516.1,8.21,0.54,430383.28,2789455
2006/11/8,1512.36,1513.04,1497.01,1498.17,-17.93,-1.18,287224.05,1914030.79
2006/11/9,1491.8,1527.38,1489.2,1524.71,26.54,1.77,340301.33,2228303.81
2006/11/10,1525.23,1535.2,1493.2,1504.06,-20.65,-1.35,539228.67,3193118.53
2006/11/13,1498.06,1512.95,1465.63,1475.78,-28.28,-1.88,416533.01,2517622.21
2006/11/14,1475.45,1493.88,1453.26,1493.78,18,1.22,363078.85,2202930.83
2006/11/15,1494.11,1534.85,1490.87,1534.76,40.99,2.74,405892.16,2613556.91
2006/11/16,1540.26,1558.41,1531.29,1533.29,-1.47,-0.1,577609.48,3412730.85
2006/11/17,1528.01,1562.24,1521.55,1562.08,28.8,1.88,444461.91,2695044.44
2006/11/20,1567.34,1593.19,1567.34,1593.16,31.07,1.99,534123.59,3299061.45
2006/11/21,1591.47,1612.46,1568.95,1612.25,19.09,1.2,486018.42,3262857.95
2006/11/22,1610.05,1639.41,1600.38,1624.03,11.78,0.73,570654.95,3806526.4
2006/11/23,1623.71,1642.81,1618.04,1634.91,10.89,0.67,513606.79,3147440.6
2006/11/24,1629.89,1640.75,1611.55,1636.58,1.67,0.1,497120.96,3239804.49
2006/11/27,1632.66,1651.8,1627.92,1651.8,15.22,0.93,472672.7,3205781.84
2006/11/28,1649.68,1656.19,1629.83,1644.01,-7.79,-0.47,447629.16,2950297.48
2006/11/29,1617.69,1672.91,1604.82,1667.14,23.13,1.41,455784.11,3089501.2
2006/11/30,1671.67,1714.49,1671.67,1714.36,47.22,2.83,602160.88,3986904.76
2006/12/1,1719.28,1741.8,1715.79,1729.22,14.87,0.87,584135.81,4104522.11
2006/12/4,1731.9,1780.8,1731.9,1780.74,51.51,2.98,714343.33,4694758.08
2006/12/5,1785.44,1811.66,1777.43,1794.23,13.49,0.76,672025.76,4725577.46
2006/12/6,1794.26,1806.65,1717.72,1779.41,-14.82,-0.83,812767,5338329.15
2006/12/7,1774.19,1820.72,1770.57,1775.71,-3.7,-0.21,804875.02,5138801.15
2006/12/8,1752.77,1772.16,1710,1711.58,-64.13,-3.61,662577.46,4198024.12
2006/12/11,1705.91,1790.12,1705.91,1789.92,78.34,4.58,513359.75,3316935.86
2006/12/12,1798.46,1819.8,1772.11,1802.79,12.86,0.72,578335.43,3870246.8
2006/12/13,1805.42,1813.28,1779.56,1803.86,1.07,0.06,480044.58,3315439.12
2006/12/14,1807.08,1836.19,1805.2,1836.14,32.29,1.79,472062.27,3332393.09
2006/12/15,1842.88,1867.78,1832.51,1867.64,31.49,1.72,494144.41,3695740.8
2006/12/18,1875.01,1918.29,1875.01,1916.11,48.47,2.6,618929.9,4653016.77
2006/12/19,1924.8,1936.75,1882.54,1921.44,5.34,0.28,677889.35,4896982.17
2006/12/20,1912.9,1936.8,1893.42,1936.55,15.1,0.79,563485.02,3974535.97
2006/12/21,1935.78,1945.47,1905.72,1908.99,-27.56,-1.42,602251.64,4343777.08
2006/12/22,1896.48,1918.49,1880.57,1895.64,-13.34,-0.7,462305.01,3487078.18
2006/12/25,1898.82,1957.47,1898.82,1939.1,43.46,2.29,562517.42,4195157.51
2006/12/26,1941.8,1959.98,1914.98,1938.24,-0.87,-0.04,569673.83,3910690.02
2006/12/27,1940.41,1983.11,1939.55,1982.88,44.64,2.3,560056.47,3896168.93
2006/12/28,1988.02,2010.37,1964.97,1979.93,-2.94,-0.15,631928.34,4522432.82
2006/12/29,1991.88,2052.86,1991.88,2041.05,61.11,3.09,738519.47,5571638.83
2007/1/4,2073.25,2139.49,2054.24,2067.09,26.05,1.28,1067197.07,8238107.26
2007/1/5,2051.15,2083.4,2030.76,2072.88,5.79,0.28,927434.47,6802606.02
2007/1/8,2072.01,2131.74,2071.72,2131.56,58.67,2.83,847679.09,6630393.61
2007/1/9,2137.49,2201.36,2128.06,2200.09,68.53,3.22,815776.29,6545619.27
2007/1/10,2210.76,2255.97,2194.77,2255.97,55.88,2.54,849049.79,6882262.48
2007/1/11,2257.01,2289.95,2224.37,2231.63,-24.34,-1.08,862765.48,6873001.18
2007/1/12,2215.86,2249.54,2159.78,2173.75,-57.88,-2.59,765257.2,6174283.04
2007/1/15,2170.94,2287.68,2170.94,2287.34,113.6,5.23,664030.97,5704345.37
2007/1/16,2310.96,2354.43,2297.24,2353.87,66.53,2.91,763642.54,6784343.42
2007/1/17,2360.41,2393.22,2266.34,2308.93,-44.94,-1.91,890155.4,8000890.18
2007/1/18,2292.17,2325.53,2240.21,2317.1,8.16,0.35,786486.06,6989497.29
2007/1/19,2320.87,2396.09,2320.87,2396.09,79,3.41,833340.22,7353887.35
2007/1/22,2424.82,2491.71,2424.82,2491.31,95.22,3.97,938929.93,8187048.81
2007/1/23,2508.27,2516.59,2415.11,2508.13,16.82,0.68,1023376.16,9281287.24
2007/1/24,2508.52,2556.1,2489.93,2536.43,28.3,1.13,844336.97,8027749.4
2007/1/25,2512.46,2529.43,2449.05,2452.83,-83.6,-3.3,810551.51,7724172.03
2007/1/26,2415.75,2524.24,2356.98,2512.92,60.09,2.45,786540.08,7327567.57
2007/1/29,2529.94,2582.41,2521.5,2576.92,63.99,2.55,854520.85,7954485.94
2007/1/30,2586.52,2599.45,2531.78,2551.88,-25.03,-0.97,782115.28,7348501.3
2007/1/31,2544.3,2548.18,2367.67,2385.34,-166.55,-6.53,809091.37,7194503.27
2007/2/1,2350.6,2410.42,2310.57,2395.17,9.84,0.41,650780.95,5757810.11
2007/2/2,2397.06,2403.62,2293.28,2298,-97.17,-4.06,593771.54,5353511.21
2007/2/5,2282.77,2304.32,2247.93,2271.8,-26.21,-1.14,475875.06,4235801.01
2007/2/6,2271.37,2316.7,2198.9,2316.04,44.24,1.95,670106.48,6120650.26
2007/2/7,2330.43,2390.87,2330.43,2369.79,53.75,2.32,701063.9,6620334.34
2007/2/8,2376.63,2415.96,2354.7,2410.6,40.81,1.72,626565.4,5836750.41
2007/2/9,2412.64,2417.64,2376.02,2397.25,-13.36,-0.55,555155.32,5130293.4
2007/2/12,2397.85,2485.76,2396.79,2485.39,88.15,3.68,549923.2,5170943.7
2007/2/13,2498.35,2526.23,2489.66,2522.63,37.24,1.5,515288.62,4822786.49
2007/2/14,2527.56,2594.66,2520.53,2588.35,65.72,2.61,627772.79,5846226.79
2007/2/15,2607.63,2669.18,2607.63,2668.63,80.28,3.1,716313.29,6741568.83
2007/2/16,2692.67,2717.57,2660.49,2676.74,8.1,0.3,759087.85,7159757.7
2007/2/26,2679.27,2710.3,2641.12,2707.68,30.94,1.16,745315.6,7098161.23
2007/2/27,2717.81,2719.52,2454.92,2457.49,-250.18,-9.24,1077368.07,10110275.56
2007/2/28,2413.42,2554.23,2413.33,2544.57,87.08,3.54,828225.71,7714824.61
2007/3/1,2550.26,2550.33,2439.5,2473.54,-71.03,-2.79,821596.55,7429957.82
2007/3/2,2468.67,2523.86,2455.82,2508.73,35.18,1.42,579468.05,5422209.95
2007/3/5,2503.82,2541.82,2409.72,2475.61,-33.12,-1.32,685174.88,6307175.45
2007/3/6,2467.74,2539.45,2452.14,2520.29,44.69,1.81,526331.53,5026131.41
2007/3/7,2532.98,2594.46,2532.15,2589.44,69.14,2.74,597209.49,5762323.98
2007/3/8,2597.72,2628.45,2565.11,2627.63,38.19,1.47,553865.59,5390762.15
2007/3/9,2632.8,2643.81,2587.49,2611.39,-16.24,-0.62,704113.26,6793304.51
2007/3/12,2612.96,2619.5,2563.37,2616.17,4.78,0.18,624689.21,6043819.75
2007/3/13,2620.72,2641.63,2605.23,2640.17,24,0.92,657889.08,6206119.18
